time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/std,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/value_loss
239616,200.0,117,367,652,-281.09089109,-0.0017632000082812738,0.5027061104774475,1160,0.0958984375,27.084550857543945,0.2,0.005754084,0.0003,0.9443912394344807,-0.7361215824261308,133.24499162584544
241664,200.0,118,370,652,-280.21593151999997,0.001920985509059392,0.49562740325927734,1170,0.051904296875,20.440921783447266,0.2,0.0035810545,0.0003,0.9869985627010465,-0.7244527967646718,48.197543050348756
243712,200.0,119,373,651,-293.30258089,-0.0013224192247434986,0.49117112159729004,1180,0.095556640625,17.111373901367188,0.2,0.011440465,0.0003,0.9659954272210598,-0.7122580202296376,56.54343688637018
245760,200.0,120,377,650,-277.48141996000004,-0.00236751686752541,0.48778289556503296,1190,0.031591796875,21.110998153686523,0.2,0.005311166,0.0003,0.9016470536589622,-0.7042282029986382,222.7983159482479
247808,200.0,121,383,645,-265.78978013,-0.0010654169571353122,0.4784926772117615,1200,0.0482421875,28.741056442260742,0.2,0.006480405,0.0003,0.9477183930575848,-0.6921429736539721,126.98175333142281
249856,200.0,122,388,643,-268.14428656,0.0008463877629765193,0.47785449028015137,1210,0.04091796875,14.961106300354004,0.2,0.0033945902,0.0003,0.9687141999602318,-0.682928984425962,51.64999805390835
251904,200.0,123,393,639,-254.25931206000004,-0.0031206558385747487,0.46779680252075195,1220,0.077685546875,6.486732482910156,0.2,0.0061395904,0.0003,0.9842562470585108,-0.6699885601177812,29.65620424449444
253952,200.0,124,398,637,-255.02549513999998,-0.000282143817821634,0.47058528661727905,1230,0.064892578125,15.062750816345215,0.2,0.0062392736,0.0003,0.9865300506353378,-0.6609189542010426,41.081407541036604
256000,200.0,125,401,637,-244.26410128,0.003025322808389319,0.4733661711215973,1240,0.082080078125,14.887971878051758,0.2,0.007617064,0.0003,0.9820697512477636,-0.669472386315465,35.754817033559085
258048,200.0,126,404,637,-241.16029197,0.0008115114615975472,0.46835941076278687,1250,0.082177734375,8.67628288269043,0.2,0.008035209,0.0003,0.9906615382060409,-0.6657655868679285,13.709091931581497
260096,200.0,127,407,637,-229.93785239999997,-0.003578104291227646,0.46262121200561523,1260,0.069287109375,3.4398880004882812,0.2,0.0070412364,0.0003,0.9629279188811779,-0.6533205468207598,40.50639820098877
262144,200.0,128,410,638,-229.02310549,0.0011828662756670383,0.4638838469982147,1270,0.10673828125,1.7856199741363525,0.2,0.01184137,0.0003,0.9867571657523513,-0.6475389735773206,6.4964904533699155
264192,200.0,129,413,638,-215.85426231999998,0.00017830647702794523,0.46685004234313965,1280,0.083056640625,1.6715307235717773,0.2,0.0071822843,0.0003,0.9871404320001602,-0.6527488142251968,8.777712745778263
266240,200.0,130,417,638,-217.00169377999998,-0.0007295082359632943,0.4635308086872101,1290,0.07060546875,8.121450424194336,0.2,0.0085300375,0.0003,0.9788276851177216,-0.654534912109375,22.373874312639238
268288,200.0,131,420,638,-216.47246116000002,-0.004210219084052369,0.46478646993637085,1300,0.054638671875,3.9755702018737793,0.2,0.0073371124,0.0003,0.994152310770005,-0.6515330975875259,29.282484486699104
270336,200.0,132,423,638,-220.77287958,-0.004327079897120711,0.4564133286476135,1310,0.12431640625,1.8760677576065063,0.2,0.0101557635,0.0003,0.9934455920010805,-0.6455047640949487,5.882322656922042
272384,200.0,133,426,638,-211.81630296,-0.003400996112031862,0.4500086307525635,1320,0.11015625,7.433927059173584,0.2,0.011510707,0.0003,0.9909923523664474,-0.6273893030360341,14.789217905700207
