time/total_timesteps,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps
280691,1290.17,-11.5726318359375,6683,0.00498409615829587,280590,-0.2406030148267746,0.0003,1.212973952293396,215.23742982,316,41
284956,1268.82,-10.991225242614746,6792,0.005006321705877781,284855,0.8995171189308167,0.0003,0.39598649740219116,213.68616701,320,41
290090,1256.16,-9.652632713317871,6921,0.005055967252701521,289989,1.316640853881836,0.0003,0.4514586925506592,215.65097467000007,324,41
295273,1244.43,-11.630134582519531,7051,0.005020246375352144,295172,1.688342809677124,0.0003,0.08976274728775024,216.29530608999997,328,41
300395,1233.72,-11.874531745910645,7179,0.005173790734261274,300294,-0.33373939990997314,0.0003,0.2051638513803482,216.96980232,332,41
305467,1244.16,-11.810117721557617,7306,0.005207655020058155,305366,1.1403164863586426,0.0003,0.6395161151885986,225.67847246999997,336,41
310611,1247.2,-12.014871597290039,7435,0.004740308504551649,310510,0.7019034028053284,0.0003,0.10812714695930481,230.87735866,340,41
315748,1267.1,-11.83592700958252,7564,0.005217467900365591,315647,0.38551026582717896,0.0003,0.15278580784797668,241.89809456,344,41
320837,1305.08,-12.302907943725586,7695,0.005020644050091505,320736,1.080589771270752,0.0003,0.14599841833114624,256.07573327,348,41
325786,1332.33,-12.127602577209473,7820,0.004964667372405529,325685,2.2896218299865723,0.0003,0.4237265884876251,268.43586491,352,41
330686,1338.85,-12.617134094238281,7943,0.005080351140350103,330585,-0.06831175833940506,0.0003,0.2595215439796448,275.9779254,356,41
335558,1323.95,-13.743892669677734,8065,0.004952814429998398,335457,-2.1386334896087646,0.0003,0.07479582726955414,276.79381474,360,41
340370,1310.75,-13.41543197631836,8186,0.005040986463427544,340269,-0.6585530042648315,0.0003,0.07982940226793289,277.21382559999995,364,41
345048,1299.67,-13.836639404296875,8303,0.005144366063177586,344947,-0.07537708431482315,0.0003,0.09664919972419739,277.6810878,368,41
349548,1302.0,-14.244394302368164,8416,0.005086663644760847,349447,-1.467181921005249,0.0003,0.532650887966156,281.78144921,372,41
354195,1289.99,-13.990974426269531,8532,0.00525809358805418,354094,1.86021888256073,0.0003,0.37618327140808105,282.29207037000003,376,41
358778,1278.27,-14.609770774841309,8647,0.005240437109023333,358677,-2.1871297359466553,0.0003,0.06273894011974335,282.75818061999996,380,41
363469,1268.35,-13.483428001403809,8764,0.00500826770439744,363368,0.39048922061920166,0.0003,0.13856489956378937,283.2095899,384,41
368047,1258.85,-14.96384048461914,8878,0.005160210188478231,367946,-1.4580143690109253,0.0003,0.09841778874397278,283.6665112,388,41
372649,1249.79,-14.129671096801758,8993,0.005456207320094109,372548,0.1732797622680664,0.0003,0.5456551909446716,284.14410548999996,392,41
377236,1239.26,-14.467964172363281,9108,0.0053578028455376625,377135,1.6166751384735107,0.0003,0.11441017687320709,284.55861414,396,41
381834,1230.29,-15.399476051330566,9222,0.005113082472234964,381733,-0.20687252283096313,0.0003,0.08927974104881287,284.97276934000007,400,41
386307,1219.58,-15.729799270629883,9334,0.00524116912856698,386206,-1.3171875476837158,0.0003,1.9112814664840698,285.24023797999996,404,41
390703,1208.44,-15.017450332641602,9443,0.0053110988810658455,390602,-0.8836512565612793,0.0003,0.19065049290657043,285.62816932000004,408,41
395146,1198.82,-15.502727508544922,9553,0.005211381241679192,395045,-0.37336212396621704,0.0003,0.06821994483470917,285.98976944000003,412,41
399705,1190.14,-16.265565872192383,9667,0.005269928369671106,399604,-1.987848162651062,0.0003,0.17107221484184265,286.32977571,416,41
404038,1190.82,-15.759664535522461,9775,0.0054888310842216015,403937,-0.1274634450674057,0.0003,0.18001464009284973,292.36590536,420,41
408237,1181.47,-16.191293716430664,9881,0.005352453328669071,408136,-0.1523849070072174,0.0003,0.6389607787132263,292.88634687999996,424,41
412530,1172.57,-16.799924850463867,9988,0.005382703151553869,412429,1.552919626235962,0.0003,0.0823611319065094,293.42960184000003,428,41
416785,1163.9,-15.777690887451172,10095,0.005191237200051546,416684,-0.4208999276161194,0.0003,0.06273649632930756,293.94082721,432,41
420979,1155.12,-16.79893684387207,10200,0.005331036634743214,420878,0.21976658701896667,0.0003,0.13777267932891846,294.47652008,436,41
425177,1145.66,-15.111183166503906,10305,0.004945646971464157,425076,-0.1764550805091858,0.0003,0.4436641335487366,294.97814485,440,41
429280,1135.32,-17.16341781616211,10409,0.005093794781714678,429179,-1.488317847251892,0.0003,0.07208900898694992,295.36933082999997,444,41
433400,1125.63,-16.455703735351562,10512,0.005155556835234165,433299,0.3618171513080597,0.0003,0.18724966049194336,295.78187777,448,41
437536,1117.5,-17.907358169555664,10615,0.0048883408308029175,437435,-0.8148950338363647,0.0003,1.7532442808151245,296.14545606,452,41
441696,1110.1,-17.164447784423828,10720,0.005234729964286089,441595,1.3226104974746704,0.0003,0.08107326924800873,296.47264132000004,456,41
