time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
7877,301130,397.05,169.86067806000003,38,624,10.916521072387695,0.001,291129,-9.969956398010254
7930,302871,394.21,168.96061418000002,38,628,3.879584789276123,0.001,292870,-7.590838432312012
7988,304758,395.36,169.45212058999996,38,632,24.245330810546875,0.001,294757,-10.391794204711914
8028,306081,391.58,180.61869095000003,38,636,26.590118408203125,0.001,296080,-7.875561714172363
8066,307321,393.17,179.97467518999997,38,640,4.468581199645996,0.001,297320,-11.335253715515137
8122,309170,392.5,180.62663551999995,38,644,3.7997326850891113,0.001,299169,-11.198532104492188
8181,311083,391.64,186.34581054000006,38,648,4.002412796020508,0.001,301082,-10.754491806030273
8219,312352,389.29,190.30093046,37,652,4.628519058227539,0.001,302351,-12.130424499511719
8266,313885,383.13,188.28945122999997,37,656,6.700883865356445,0.001,303884,-8.85179328918457
8315,315475,380.53,186.23180338000003,37,660,6.032371520996094,0.001,305474,-11.942790031433105
8366,317154,380.91,184.40427382000004,37,664,13.751874923706055,0.001,307153,-8.652375221252441
8398,318196,369.13,186.70755423999998,37,668,3.380521297454834,0.001,308195,-11.534065246582031
8431,319252,356.29,178.55254616,37,672,3.7400479316711426,0.001,309251,-8.259049415588379
8470,320542,352.21,176.02206784999998,37,676,8.177379608154297,0.001,310541,-9.731669425964355
8516,322023,347.21,179.94097591000002,37,680,16.131385803222656,0.001,312022,-9.623960494995117
8558,323390,348.15,182.00402855000002,37,684,30.67776107788086,0.001,313389,-9.000702857971191
8626,325624,354.13,180.11019682999998,37,688,19.14742660522461,0.001,315623,-8.402204513549805
8673,327143,356.4,180.12477926,37,692,2.4955368041992188,0.001,317142,-9.610383033752441
8710,328350,344.96,182.71417198,37,696,3.6686582565307617,0.001,318349,-9.67358684539795
8747,329559,350.57,186.2352767,37,700,18.774707794189453,0.001,319558,-6.271084785461426
8798,331227,357.93,180.33114942000003,37,704,6.593175888061523,0.001,321226,-10.081169128417969
8851,332962,364.67,169.66811663999997,37,708,5.792733669281006,0.001,322961,-10.161137580871582
