rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss,train/n_updates
845.56,340088,456,42.07770811000001,46,7240,1.6817901134490967,0.0003,0.10000000149011612,4.026463985443115,330087
842.03,343735,460,43.53425764000001,46,7321,5.034770965576172,0.0003,0.10000000149011612,5.282334804534912,333734
832.23,346755,464,43.23566871999999,46,7388,0.7972898483276367,0.0003,0.10000000149011612,3.315760612487793,336754
830.22,350554,468,43.28759428,46,7472,1.312924861907959,0.0003,0.10000000149011612,0.3486325144767761,340553
830.2,354410,472,45.893623590000004,46,7558,1.3922524452209473,0.0003,0.10000000149011612,2.3549609184265137,344409
823.02,357094,476,44.890878230000006,46,7618,0.7897821664810181,0.0003,0.10000000149011612,5.083039283752441,347093
817.87,360579,480,45.3196536,46,7695,3.550293207168579,0.0003,0.10000000149011612,5.1047444343566895,350578
819.37,363943,484,46.14689913999999,46,7770,4.158153057098389,0.0003,0.10000000149011612,5.938682556152344,353942
827.4,367873,488,44.6355195,46,7857,39.36634063720703,0.0003,0.10000000149011612,6.45037841796875,357872
834.29,371618,492,42.494751050000005,46,7940,1.749537706375122,0.0003,0.10000000149011612,6.345770835876465,361617
833.6,375033,496,40.546159530000004,46,8015,1.6891648769378662,0.0003,0.10000000149011612,6.293048858642578,365032
844.41,379033,500,37.64988807,46,8104,3.2035181522369385,0.0003,0.10000000149011612,3.976572036743164,369032
847.59,383033,504,34.852284360000006,46,8192,0.999123752117157,0.0003,0.10000000149011612,2.649399757385254,373032
852.2,387033,508,31.99748257,46,8281,0.44980621337890625,0.0003,0.10000000149011612,2.704671621322632,377032
852.43,391033,512,30.163371560000005,46,8369,0.6721493005752563,0.0003,0.10000000149011612,4.107105255126953,381032
853.8,394697,516,28.84496137000001,46,8450,1.361375093460083,0.0003,0.10000000149011612,2.0436384677886963,384696
857.66,398697,520,26.32094701000001,46,8539,1.5927352905273438,0.0003,0.10000000149011612,3.635965347290039,388696
858.08,402244,524,26.667319870000007,46,8617,2.196780204772949,0.0003,0.10000000149011612,2.960136890411377,392243
870.43,405933,528,28.79804817,46,8699,18.055147171020508,0.0003,0.10000000149011612,1.8579802513122559,395932
871.03,409354,532,29.081205680000007,46,8775,4.046065807342529,0.0003,0.10000000149011612,0.9656786918640137,399353
880.58,413354,536,23.634150960000007,46,8864,6.841447353363037,0.0003,0.10000000149011612,5.603373050689697,403353
884.61,417354,540,34.47653174,46,8953,18.626781463623047,0.0003,0.10000000149011612,4.2376484870910645,407353
889.14,421354,544,33.38549282000001,46,9042,63.07612609863281,0.0003,0.10000000149011612,4.951633453369141,411353
904.3,425354,548,27.482412180000004,46,9130,1.2074553966522217,0.0003,0.10000000149011612,1.7430851459503174,415353
919.72,429201,552,20.814888970000002,46,9216,2.416370391845703,0.0003,0.10000000149011612,3.9978556632995605,419200
931.13,433201,556,25.653406630000003,46,9305,1.2565371990203857,0.0003,0.10000000149011612,-0.3921844959259033,423200
934.66,437201,560,22.892470879999998,46,9394,0.9299306869506836,0.0003,0.10000000149011612,1.3651454448699951,427200
944.46,441201,564,22.27050555,46,9483,1.2185606956481934,0.0003,0.10000000149011612,3.2539286613464355,431200
939.87,444541,568,23.875945429999998,46,9557,0.6168256402015686,0.0003,0.10000000149011612,0.561407744884491,434540
934.07,447817,572,25.408917779999992,46,9630,1.8648324012756348,0.0003,0.10000000149011612,4.030130863189697,437816
947.23,451817,576,20.27323993,46,9719,1.7389459609985352,0.0003,0.10000000149011612,1.426056146621704,441816
951.18,455697,580,22.14266591,46,9805,2.36576509475708,0.0003,0.10000000149011612,5.2628397941589355,445696
951.15,459058,584,21.68718699,46,9880,4.990187644958496,0.0003,0.10000000149011612,3.9040820598602295,449057
939.0,461773,588,25.997811510000002,46,9941,0.7083057165145874,0.0003,0.10000000149011612,3.964529514312744,451772
929.03,464521,592,26.712677950000003,46,10002,3.5732460021972656,0.0003,0.10000000149011612,2.5553858280181885,454520
926.49,467682,596,28.430064780000002,46,10072,2.677140951156616,0.0003,0.10000000149011612,2.342869281768799,457681
922.48,471281,600,30.836928329999996,46,10153,3.133673667907715,0.0003,0.10000000149011612,4.779110908508301,461280
917.89,474822,604,35.26499315,46,10231,1.8756526708602905,0.0003,0.10000000149011612,3.4406046867370605,464821
917.89,478822,608,36.45855541,46,10320,1.4510021209716797,0.0003,0.10000000149011612,4.514433860778809,468821
912.2,482253,612,39.73382762,46,10397,4.531304359436035,0.0003,0.10000000149011612,3.15779972076416,472252
904.62,485159,616,43.965693970000004,46,10461,1.26145601272583,0.0003,0.10000000149011612,3.6204652786254883,475158
896.94,488391,620,49.62926907000001,46,10533,0.753084659576416,0.0003,0.10000000149011612,0.26070570945739746,478390
887.46,490990,624,55.00918921,46,10591,1.4446384906768799,0.0003,0.10000000149011612,5.256213665008545,480989
878.99,493832,628,57.91628253999999,46,10654,0.8490889072418213,0.0003,0.10000000149011612,4.08977746963501,483831
879.78,497332,632,57.677992429999996,46,10732,0.978268027305603,0.0003,0.10000000149011612,4.3776750564575195,487331
877.14,501068,636,60.22811221,46,10816,37.975677490234375,0.0003,0.10000000149011612,4.160902500152588,491067
871.43,504497,640,63.30786789,46,10892,1.9612364768981934,0.0003,0.10000000149011612,3.329113006591797,494496
856.92,507046,644,68.94831463999999,46,10949,1.1536333560943604,0.0003,0.10000000149011612,1.563814640045166,497045
856.92,511046,648,69.83712573000001,46,11039,0.7944737672805786,0.0003,0.10000000149011612,0.7862974405288696,501045
858.45,515046,652,69.44721121,46,11128,1.4190349578857422,0.0003,0.10000000149011612,4.514272212982178,505045
850.74,518275,656,73.51499671,46,11200,1.3650977611541748,0.0003,0.10000000149011612,2.5542147159576416,508274
840.27,521228,660,76.43499882,46,11266,4.782436370849609,0.0003,0.10000000149011612,2.4673523902893066,511227
840.27,525228,664,76.81001101999999,46,11355,2.0338146686553955,0.0003,0.10000000149011612,3.546647548675537,515227
834.06,527947,668,82.39454736999998,46,11416,1.2079310417175293,0.0003,0.10000000149011612,1.488904595375061,517946
820.52,529869,672,83.97707035000002,46,11459,2.338764190673828,0.0003,0.10000000149011612,0.9995750784873962,519868
809.35,532752,676,86.39741907000001,46,11523,0.7254008650779724,0.0003,0.10000000149011612,1.859324336051941,522751
803.1,536007,680,86.00135257,46,11596,1.6041529178619385,0.0003,0.10000000149011612,2.9086179733276367,526006
808.99,539957,684,84.12622997,46,11684,0.6871527433395386,0.0003,0.10000000149011612,0.9750984907150269,529956
804.71,542244,688,79.18485055,46,11735,2.2762601375579834,0.0003,0.10000000149011612,0.29250943660736084,532243
811.54,545675,692,79.96868716999998,46,11812,2.620363235473633,0.0003,0.10000000149011612,1.5677385330200195,535674
812.82,548964,696,80.97801116999999,46,11886,0.7437701225280762,0.0003,0.10000000149011612,2.186936855316162,538963
810.18,552299,700,83.00865343,46,11960,0.5646872520446777,0.0003,0.10000000149011612,0.6176487803459167,542298
799.09,554731,704,82.71957239,46,12015,3.0029845237731934,0.0003,0.10000000149011612,0.8794400691986084,544730
791.57,557979,708,83.43748022999998,46,12088,0.9526488184928894,0.0003,0.10000000149011612,-0.49314624071121216,547978
