time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,time/episodes,time/fps,train/n_updates
71756,0.5455453333333338,183.14,72,-95.34899577999998,3.345123052597046,0.0001,596,989,17913
72651,0.5398770000000002,186.52,73,-92.8491114,0.9649127721786499,0.0001,600,988,18137
74305,0.5294016666666667,197.93,75,-90.98708167999999,0.6213371753692627,0.0001,604,986,18551
75566,0.5214153333333329,205.6,76,-85.98965599000002,0.5771965384483337,0.0001,608,985,18866
76300,0.5167666666666673,207.28,77,-83.43861347,2.498695135116577,0.0001,612,985,19049
77807,0.507222333333333,217.54,79,-83.48103289999999,3.6584537029266357,0.0001,616,983,19426
78913,0.500217666666667,224.07,80,-82.50094954999999,0.9768292903900146,0.0001,620,983,19703
79778,0.49473933333333364,226.54,81,-80.99657546,0.35537946224212646,0.0001,624,982,19919
81483,0.4839410000000002,237.67,83,-80.24484674,0.46712931990623474,0.0001,628,981,20345
82989,0.47440300000000013,246.12,84,-75.80158319,0.8203335404396057,0.0001,632,980,20722
83631,0.47033700000000034,246.32,85,-70.19459716,0.38339653611183167,0.0001,636,979,20882
85091,0.46109033333333327,254.19,86,-66.20702097000002,0.5112279653549194,0.0001,640,978,21247
86193,0.45411099999999993,261.36,88,-65.89879072,1.4146555662155151,0.0001,644,977,21523
87047,0.4487023333333334,264.2,89,-63.75694224,0.9723510146141052,0.0001,648,977,21736
88762,0.4378406666666663,259.28,90,-65.39081938,0.6799108386039734,0.0001,652,976,22165
90172,0.4289106666666669,268.94,92,-65.05518182,2.2396416664123535,0.0001,656,975,22517
92673,0.4130710000000001,287.93,95,-63.766539390000005,0.6987493634223938,0.0001,660,973,23143
94398,0.4021460000000001,299.04,97,-60.26252896,0.8043291568756104,0.0001,664,971,23574
97525,0.38234166666666625,322.63,100,-57.904012869999995,0.9700402021408081,0.0001,668,969,24356
100705,0.3622016666666672,346.24,104,-60.94271465999999,0.821664035320282,0.0001,672,967,25151
104705,0.33686833333333344,375.37,108,-59.49197789,2.948533773422241,0.0001,676,963,26151
107253,0.32073100000000043,393.53,111,-57.72761072,0.7757109999656677,0.0001,680,961,26788
109594,0.30590466666666616,409.85,114,-55.71484213000001,2.0237715244293213,0.0001,684,960,27373
113594,0.2805713333333336,438.87,118,-56.0993959,0.502489447593689,0.0001,688,957,28373
117594,0.25523799999999985,463.52,123,-56.99890623,0.21010559797286987,0.0001,692,954,29373
121029,0.23348299999999977,492.73,127,-54.95524563,0.8028274178504944,0.0001,696,951,30232
125029,0.20814966666666712,523.78,131,-53.58035975999999,0.8397778272628784,0.0001,700,948,31232
129029,0.18281633333333336,547.24,136,-54.89963322999999,5.878301620483398,0.0001,704,945,32232
132633,0.159991,570.67,140,-53.40763526,0.43209773302078247,0.0001,708,943,33133
136633,0.13465766666666645,603.33,145,-53.94181151,0.43770280480384827,0.0001,712,940,34133
140633,0.1093243333333338,628.26,150,-54.23032888000001,0.506494402885437,0.0001,716,934,35133
144633,0.08399100000000004,657.2,155,-56.41796534,0.4103567600250244,0.0001,720,929,36133
148633,0.058657666666666275,688.55,160,-58.77939385999999,0.21268436312675476,0.0001,724,927,37133
152633,0.05,711.5,165,-59.95467327,1.434126853942871,0.0001,728,924,38133
156633,0.05,736.44,169,-63.14392525,0.5246701240539551,0.0001,732,922,39133
160633,0.05,770.02,174,-67.63804800000001,1.0547312498092651,0.0001,736,920,40133
164633,0.05,795.42,179,-70.16023644999999,0.3092286288738251,0.0001,740,918,41133
168633,0.05,824.4,184,-71.59651442,0.23742467164993286,0.0001,744,915,42133
172633,0.05,855.86,188,-74.26410749,0.4837997853755951,0.0001,748,914,43133
176633,0.05,878.71,193,-77.97007774000002,0.4855635166168213,0.0001,752,912,44133
180633,0.05,904.61,198,-78.94634756,0.3821151852607727,0.0001,756,910,45133
184633,0.05,919.6,203,-79.78573899999999,3.7009716033935547,0.0001,760,909,46133
188633,0.05,942.35,207,-83.32235150000001,2.847338914871216,0.0001,764,907,47133
192633,0.05,951.08,212,-84.72717947000001,1.1406828165054321,0.0001,768,906,48133
196633,0.05,959.28,217,-83.35004932,0.4379331171512604,0.0001,772,904,49133
200633,0.05,959.28,222,-85.66572857999999,0.4702658951282501,0.0001,776,903,50133
204576,0.05,973.23,226,-84.68253525999998,0.9592117071151733,0.0001,780,902,51118
208576,0.05,989.82,231,-84.99466727,0.4178926944732666,0.0001,784,900,52118
212576,0.05,989.82,236,-85.01500422999999,0.8273385763168335,0.0001,788,899,53118
216576,0.05,989.82,241,-83.79506663999999,0.4930165708065033,0.0001,792,898,54118
220197,0.05,991.68,245,-81.89134291,1.8513847589492798,0.0001,796,897,55024
224197,0.05,991.68,250,-81.95901299,0.48978370428085327,0.0001,800,896,56024
228197,0.05,991.68,254,-82.24469915,3.5245308876037598,0.0001,804,895,57024
232197,0.05,995.64,259,-87.06690336000001,0.23795482516288757,0.0001,808,894,58024
236197,0.05,995.64,264,-85.09418286000002,0.3583482503890991,0.0001,812,893,59024
240097,0.05,994.64,269,-81.58502672000002,0.4411119222640991,0.0001,816,892,59999
243614,0.05,989.81,273,-76.09211461000001,0.5522032976150513,0.0001,820,891,60878
247381,0.05,987.48,277,-68.95663486,0.43915826082229614,0.0001,824,890,61820
250680,0.05,980.47,281,-66.64232741,0.991087019443512,0.0001,828,890,62644
254287,0.05,976.54,285,-58.36819111,0.5137348175048828,0.0001,832,889,63546
257877,0.05,972.44,290,-51.65658655,2.478954792022705,0.0001,836,888,64444
260568,0.05,959.35,293,-47.202908539999996,0.31334972381591797,0.0001,840,887,65116
264116,0.05,954.83,297,-41.18831629,0.5445891618728638,0.0001,844,887,66003
268116,0.05,954.83,302,-38.63067135,0.49438390135765076,0.0001,848,886,67003
271558,0.05,949.25,306,-30.599460909999998,0.2851974666118622,0.0001,852,885,67864
274614,0.05,939.81,310,-20.69501296,0.5187950134277344,0.0001,856,885,68628
278201,0.05,935.68,314,-16.82141707,0.3905216455459595,0.0001,860,884,69525
281686,0.05,930.53,318,-11.413139450000003,0.9449979066848755,0.0001,864,884,70396
